location_id,location_name,target,n_rows,val_mae_mean,test_mae_mean,test_rmse_mean
d9731703-f025-5cf2-bef7-073fb52b7baf,ninhthuan,rain,100,0.13605721421539785,0.185380752235651,0.7142832803726197
271a23fd-9dad-5b0c-b930-f016d1984f17,lamdong,rain,100,0.2290588715672493,0.27607581704854967,0.9774448931217193
af8535bd-79af-54b1-a483-cc8b9d95ed53,gialai,rain,100,0.20640436708927154,0.29116439163684843,0.9380778449773789
f6efaa2f-5be2-5d45-9a81-275f1a621a39,haiphong,rain,100,0.3226796922087669,0.29365762427449227,0.8936658877134324
3894e520-6775-5aa3-80f0-8a05cd35c01d,khanhhoa,rain,100,0.2915183714032173,0.31448282539844513,1.0056567198038102
c6e8add8-26f8-5e9f-aa37-08760ea9a019,daklak,rain,100,0.2570411166548729,0.31681087344884873,1.050562579035759
2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh,rain,100,0.2931551828980446,0.3206900453567505,0.9508496248722076
23e910e1-e423-5858-a7cf-8f9959f7f977,nghean,rain,100,0.2731304933130741,0.3250043061375618,1.1020076394081115
128ae12a-3284-5a3a-9c26-e0201fc3dcf0,cantho,rain,100,0.30170663833618167,0.32611385226249695,0.9933038604259491
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,rain,100,0.34503805309534075,0.32835141658782957,0.9221480685472488
20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen,rain,100,0.30884876698255537,0.3518234160542488,1.0831630325317383
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rain,100,0.3548418173193932,0.3521583053469658,1.1833583855628966
92330f85-61cb-52c3-80e2-8382291864f8,hcmc,rain,100,0.2950625994801521,0.3636330059170723,1.1428124952316283
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,rain,100,0.37914125978946683,0.3703227132558823,1.0547941732406616
0c474d61-9e2a-5498-a267-d438d5203428,dongnai,rain,100,0.32220497757196426,0.3935303753614426,1.1682330429553986
278554dd-e96a-5d8a-bfe0-73cbfc7669cb,danang,rain,100,0.30016897708177565,0.40190415441989896,1.550451673269272
2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa,rain,100,0.3097183507680893,0.4041242554783821,1.5045648884773255
8a329641-ca56-5257-95d6-168b9726b411,hue,rain,100,0.3996856340765953,0.4362845641374588,1.3630414712429046
59f88d3f-e683-575e-bcd2-548a7f2797ea,quangnam,rain,100,0.38302617758512497,0.44168844193220136,1.2639635181427002
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,v10,100,0.47709370344877244,0.44920977264642714,0.5984005445241928
a0886c10-f898-5d9b-a5b7-01de6b47e9bb,hatinh,rain,100,0.327634005099535,0.4504496878385544,1.4142801690101623
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,u10,100,0.4994542846083641,0.4696936783194542,0.6373213183879852
3894e520-6775-5aa3-80f0-8a05cd35c01d,khanhhoa,v10,100,0.4780434581637383,0.5293522375822067,0.7413085854053497
8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai,u10,100,0.5607693493366241,0.567592521905899,0.7728290045261383
61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang,v10,100,0.6161052125692368,0.5736703142523766,0.7633907681703568
3894e520-6775-5aa3-80f0-8a05cd35c01d,khanhhoa,u10,100,0.5447386166453362,0.6330883234739304,0.8871010884642601
