location_id,location_name,target,h,alpha,val_mae,val_rmse,test_mae,test_rmse,model
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rh,1,1.0,2.122896194458008,3.074147939682007,2.099561929702759,3.0581774711608887,ridge_rh_55e90ccc-1370-5a29-b02e-8ac2297b3890_multi_h001-100.joblib
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rh,2,1.0,3.249878406524658,4.495483875274658,3.2443838119506836,4.50396728515625,ridge_rh_55e90ccc-1370-5a29-b02e-8ac2297b3890_multi_h001-100.joblib
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rh,3,1.0,3.970839023590088,5.396267414093018,3.925293207168579,5.375276565551758,ridge_rh_55e90ccc-1370-5a29-b02e-8ac2297b3890_multi_h001-100.joblib
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rh,4,1.0,4.457003593444824,6.026174068450928,4.396581649780273,5.9402923583984375,ridge_rh_55e90ccc-1370-5a29-b02e-8ac2297b3890_multi_h001-100.joblib
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rh,5,1.0,4.831204414367676,6.506202697753906,4.709004878997803,6.338925361633301,ridge_rh_55e90ccc-1370-5a29-b02e-8ac2297b3890_multi_h001-100.joblib
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rh,6,1.0,5.10577392578125,6.881221771240234,4.951385974884033,6.658400058746338,ridge_rh_55e90ccc-1370-5a29-b02e-8ac2297b3890_multi_h001-100.joblib
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rh,7,1.0,5.312547206878662,7.178418159484863,5.146246910095215,6.896548748016357,ridge_rh_55e90ccc-1370-5a29-b02e-8ac2297b3890_multi_h001-100.joblib
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rh,8,1.0,5.463784694671631,7.388636589050293,5.281864643096924,7.066678524017334,ridge_rh_55e90ccc-1370-5a29-b02e-8ac2297b3890_multi_h001-100.joblib
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rh,9,1.0,5.554136753082275,7.531936168670654,5.380856513977051,7.180610656738281,ridge_rh_55e90ccc-1370-5a29-b02e-8ac2297b3890_multi_h001-100.joblib
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rh,10,1.0,5.626573085784912,7.647836685180664,5.455455780029297,7.26749324798584,ridge_rh_55e90ccc-1370-5a29-b02e-8ac2297b3890_multi_h001-100.joblib
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rh,11,1.0,5.693288326263428,7.740596771240234,5.526828765869141,7.352871894836426,ridge_rh_55e90ccc-1370-5a29-b02e-8ac2297b3890_multi_h001-100.joblib
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rh,12,1.0,5.747860908508301,7.8207926750183105,5.597857475280762,7.427585601806641,ridge_rh_55e90ccc-1370-5a29-b02e-8ac2297b3890_multi_h001-100.joblib
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rh,13,1.0,5.797876834869385,7.881719589233398,5.6623005867004395,7.499215602874756,ridge_rh_55e90ccc-1370-5a29-b02e-8ac2297b3890_multi_h001-100.joblib
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rh,14,1.0,5.839414119720459,7.93665885925293,5.71671724319458,7.5560503005981445,ridge_rh_55e90ccc-1370-5a29-b02e-8ac2297b3890_multi_h001-100.joblib
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rh,15,1.0,5.871218204498291,7.972584247589111,5.7733049392700195,7.617295742034912,ridge_rh_55e90ccc-1370-5a29-b02e-8ac2297b3890_multi_h001-100.joblib
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rh,16,1.0,5.899742126464844,8.001690864562988,5.831735134124756,7.677801609039307,ridge_rh_55e90ccc-1370-5a29-b02e-8ac2297b3890_multi_h001-100.joblib
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rh,17,1.0,5.927853584289551,8.03110408782959,5.891708850860596,7.736395835876465,ridge_rh_55e90ccc-1370-5a29-b02e-8ac2297b3890_multi_h001-100.joblib
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rh,18,1.0,5.960627555847168,8.055096626281738,5.9512739181518555,7.797399044036865,ridge_rh_55e90ccc-1370-5a29-b02e-8ac2297b3890_multi_h001-100.joblib
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rh,19,1.0,5.995142459869385,8.091761589050293,6.0043511390686035,7.871106147766113,ridge_rh_55e90ccc-1370-5a29-b02e-8ac2297b3890_multi_h001-100.joblib
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rh,20,1.0,6.02965784072876,8.132651329040527,6.057825088500977,7.950606346130371,ridge_rh_55e90ccc-1370-5a29-b02e-8ac2297b3890_multi_h001-100.joblib
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rh,21,1.0,6.073507308959961,8.175204277038574,6.11561393737793,8.034235954284668,ridge_rh_55e90ccc-1370-5a29-b02e-8ac2297b3890_multi_h001-100.joblib
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rh,22,1.0,6.114973068237305,8.213683128356934,6.162010669708252,8.113687515258789,ridge_rh_55e90ccc-1370-5a29-b02e-8ac2297b3890_multi_h001-100.joblib
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rh,23,1.0,6.151159763336182,8.252306938171387,6.207881927490234,8.193666458129883,ridge_rh_55e90ccc-1370-5a29-b02e-8ac2297b3890_multi_h001-100.joblib
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rh,24,1.0,6.206050872802734,8.309712409973145,6.281477451324463,8.2781400680542,ridge_rh_55e90ccc-1370-5a29-b02e-8ac2297b3890_multi_h001-100.joblib
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rh,25,1.0,6.311586856842041,8.429551124572754,6.404595851898193,8.422465324401855,ridge_rh_55e90ccc-1370-5a29-b02e-8ac2297b3890_multi_h001-100.joblib
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rh,26,1.0,6.448685169219971,8.570115089416504,6.543570518493652,8.588621139526367,ridge_rh_55e90ccc-1370-5a29-b02e-8ac2297b3890_multi_h001-100.joblib
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rh,27,1.0,6.5886454582214355,8.710457801818848,6.676724433898926,8.739836692810059,ridge_rh_55e90ccc-1370-5a29-b02e-8ac2297b3890_multi_h001-100.joblib
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rh,28,1.0,6.717188835144043,8.840415954589844,6.783693790435791,8.867884635925293,ridge_rh_55e90ccc-1370-5a29-b02e-8ac2297b3890_multi_h001-100.joblib
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rh,29,1.0,6.824509143829346,8.963050842285156,6.880505084991455,8.984979629516602,ridge_rh_55e90ccc-1370-5a29-b02e-8ac2297b3890_multi_h001-100.joblib
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rh,30,1.0,6.925909519195557,9.079346656799316,6.971574306488037,9.088142395019531,ridge_rh_55e90ccc-1370-5a29-b02e-8ac2297b3890_multi_h001-100.joblib
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rh,31,1.0,7.0241827964782715,9.194050788879395,7.045489311218262,9.188835144042969,ridge_rh_55e90ccc-1370-5a29-b02e-8ac2297b3890_multi_h001-100.joblib
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rh,32,1.0,7.10727071762085,9.29511547088623,7.116097927093506,9.280224800109863,ridge_rh_55e90ccc-1370-5a29-b02e-8ac2297b3890_multi_h001-100.joblib
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rh,33,1.0,7.166378974914551,9.37813663482666,7.17625093460083,9.360891342163086,ridge_rh_55e90ccc-1370-5a29-b02e-8ac2297b3890_multi_h001-100.joblib
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rh,34,1.0,7.220077991485596,9.441216468811035,7.220338821411133,9.4325590133667,ridge_rh_55e90ccc-1370-5a29-b02e-8ac2297b3890_multi_h001-100.joblib
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rh,35,1.0,7.257119655609131,9.489182472229004,7.267857074737549,9.499246597290039,ridge_rh_55e90ccc-1370-5a29-b02e-8ac2297b3890_multi_h001-100.joblib
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rh,36,1.0,7.290389060974121,9.528898239135742,7.318770408630371,9.56454849243164,ridge_rh_55e90ccc-1370-5a29-b02e-8ac2297b3890_multi_h001-100.joblib
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rh,37,1.0,7.3230509757995605,9.56707763671875,7.37983512878418,9.630534172058105,ridge_rh_55e90ccc-1370-5a29-b02e-8ac2297b3890_multi_h001-100.joblib
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rh,38,1.0,7.354887008666992,9.604704856872559,7.433897972106934,9.694028854370117,ridge_rh_55e90ccc-1370-5a29-b02e-8ac2297b3890_multi_h001-100.joblib
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rh,39,1.0,7.3759589195251465,9.636474609375,7.48740291595459,9.75692081451416,ridge_rh_55e90ccc-1370-5a29-b02e-8ac2297b3890_multi_h001-100.joblib
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rh,40,1.0,7.4021148681640625,9.663683891296387,7.538522243499756,9.816377639770508,ridge_rh_55e90ccc-1370-5a29-b02e-8ac2297b3890_multi_h001-100.joblib
55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi,rh,41,1.0,7.429182529449463,9.686617851257324,7.5772552490234375,9.871865272521973,ridge_rh_55e90ccc-1370-5a29-b02e-8ac2297b3890_multi_h001-100.joblib
