target,horizon_bin,mae_mean,rmse_mean
cloud,1-24,20.48467164039612,27.313389879465102
cloud,25-48,24.808058134714763,30.62868053515752
cloud,49-72,26.142262709140777,31.511794706185658
cloud,73-100,26.633092038972034,31.860907214028494
