target,horizon_bin,n_horizons,mae_mean,rmse_mean,location_id,location_name
cloud,1-24,24,21.9453547000885,29.093658765157063,55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi
cloud,25-48,24,27.79201356569926,33.60626713434855,55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi
cloud,49-72,24,29.728483359018963,34.841849168141685,55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi
cloud,73-100,28,30.16232292992728,35.18019349234445,55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi
cloud,1-24,24,22.497411688168842,29.297810475031536,f6efaa2f-5be2-5d45-9a81-275f1a621a39,haiphong
cloud,25-48,24,28.856130599975586,34.292295932769775,f6efaa2f-5be2-5d45-9a81-275f1a621a39,haiphong
cloud,49-72,24,30.707299947738647,35.744855086008705,f6efaa2f-5be2-5d45-9a81-275f1a621a39,haiphong
cloud,73-100,28,31.296920776367188,36.0898688180106,f6efaa2f-5be2-5d45-9a81-275f1a621a39,haiphong
cloud,1-24,24,22.42059898376465,29.135204633076984,2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh
cloud,25-48,24,28.84268530209859,34.36730480194092,2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh
cloud,49-72,24,30.705822149912517,35.68768390019735,2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh
cloud,73-100,28,31.26629856654576,35.86609622410366,2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh
cloud,1-24,24,19.048695882161457,25.244702100753784,8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai
cloud,25-48,24,24.472349325815838,29.569406112035114,8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai
cloud,49-72,24,26.347451130549114,30.820325136184692,8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai
cloud,73-100,28,26.822879314422607,31.471753461020334,8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai
cloud,1-24,24,19.993142127990723,26.419737060864765,61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang
cloud,25-48,24,26.019527037938435,31.16913382212321,61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang
cloud,49-72,24,27.877036253611248,32.81117947896322,61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang
cloud,73-100,28,28.255837781088694,33.42586217607771,61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang
cloud,1-24,24,21.5137966076533,28.688313722610474,20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen
cloud,25-48,24,27.6916507879893,33.32155148188273,20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen
cloud,49-72,24,29.730596621831257,34.7746639251709,20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen
cloud,73-100,28,30.19108772277832,34.98463290078299,20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen
cloud,1-24,24,20.462574362754822,27.78273407618205,2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa
cloud,25-48,24,25.82397214571635,31.854923645655315,2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa
cloud,49-72,24,27.675573507944744,32.90156888961792,2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa
cloud,73-100,28,28.339527198246547,33.289496830531526,2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa
cloud,1-24,24,20.22785214583079,27.112284898757935,23e910e1-e423-5858-a7cf-8f9959f7f977,nghean
cloud,25-48,24,25.494614680608112,31.146918455759685,23e910e1-e423-5858-a7cf-8f9959f7f977,nghean
cloud,49-72,24,26.98190363248189,32.17598446210226,23e910e1-e423-5858-a7cf-8f9959f7f977,nghean
cloud,73-100,28,27.386751447405135,32.598284176417756,23e910e1-e423-5858-a7cf-8f9959f7f977,nghean
cloud,1-24,24,20.08242626984914,27.016945600509644,a0886c10-f898-5d9b-a5b7-01de6b47e9bb,hatinh
cloud,25-48,24,25.45608425140381,31.080520391464233,a0886c10-f898-5d9b-a5b7-01de6b47e9bb,hatinh
cloud,49-72,24,27.068753719329834,32.01716033617655,a0886c10-f898-5d9b-a5b7-01de6b47e9bb,hatinh
cloud,73-100,28,27.844123431614467,32.63162585667202,a0886c10-f898-5d9b-a5b7-01de6b47e9bb,hatinh
cloud,1-24,24,20.249765555063885,26.97646991411845,8a329641-ca56-5257-95d6-168b9726b411,hue
cloud,25-48,24,25.223427931467693,30.57233540217082,8a329641-ca56-5257-95d6-168b9726b411,hue
cloud,49-72,24,27.112269798914593,31.829546292622883,8a329641-ca56-5257-95d6-168b9726b411,hue
cloud,73-100,28,28.229421070643834,32.57728113446917,8a329641-ca56-5257-95d6-168b9726b411,hue
cloud,1-24,24,20.389365553855896,26.597860256830852,278554dd-e96a-5d8a-bfe0-73cbfc7669cb,danang
cloud,25-48,24,24.936271746953327,29.89542277654012,278554dd-e96a-5d8a-bfe0-73cbfc7669cb,danang
cloud,49-72,24,26.667275269826252,31.164851903915405,278554dd-e96a-5d8a-bfe0-73cbfc7669cb,danang
cloud,73-100,28,27.862308979034424,32.07931164332798,278554dd-e96a-5d8a-bfe0-73cbfc7669cb,danang
cloud,1-24,24,18.922670046488445,25.46479805310567,59f88d3f-e683-575e-bcd2-548a7f2797ea,quangnam
cloud,25-48,24,23.167656898498535,28.482648452123005,59f88d3f-e683-575e-bcd2-548a7f2797ea,quangnam
cloud,49-72,24,25.17725332578023,29.83690857887268,59f88d3f-e683-575e-bcd2-548a7f2797ea,quangnam
