location_id,location_name,target,h,device,best_iter,test_mae,test_rmse,model
3894e520-6775-5aa3-80f0-8a05cd35c01d,khanhhoa,u10,1,cpu,219,0.35545915365219116,0.492196261882782,lgb_u10_3894e520-6775-5aa3-80f0-8a05cd35c01d_h001.txt
3894e520-6775-5aa3-80f0-8a05cd35c01d,khanhhoa,u10,2,cpu,155,0.4556225836277008,0.620547890663147,lgb_u10_3894e520-6775-5aa3-80f0-8a05cd35c01d_h002.txt
3894e520-6775-5aa3-80f0-8a05cd35c01d,khanhhoa,u10,3,cpu,169,0.4955861568450928,0.6800768375396729,lgb_u10_3894e520-6775-5aa3-80f0-8a05cd35c01d_h003.txt
3894e520-6775-5aa3-80f0-8a05cd35c01d,khanhhoa,u10,4,cpu,132,0.5157954692840576,0.716658353805542,lgb_u10_3894e520-6775-5aa3-80f0-8a05cd35c01d_h004.txt
3894e520-6775-5aa3-80f0-8a05cd35c01d,khanhhoa,u10,5,cpu,149,0.5278722643852234,0.7338176965713501,lgb_u10_3894e520-6775-5aa3-80f0-8a05cd35c01d_h005.txt
3894e520-6775-5aa3-80f0-8a05cd35c01d,khanhhoa,u10,6,cpu,99,0.5370064377784729,0.7460100650787354,lgb_u10_3894e520-6775-5aa3-80f0-8a05cd35c01d_h006.txt
3894e520-6775-5aa3-80f0-8a05cd35c01d,khanhhoa,u10,7,cpu,119,0.5443918108940125,0.7548538446426392,lgb_u10_3894e520-6775-5aa3-80f0-8a05cd35c01d_h007.txt
3894e520-6775-5aa3-80f0-8a05cd35c01d,khanhhoa,u10,8,cpu,128,0.5442320108413696,0.7558215856552124,lgb_u10_3894e520-6775-5aa3-80f0-8a05cd35c01d_h008.txt
3894e520-6775-5aa3-80f0-8a05cd35c01d,khanhhoa,u10,9,cpu,75,0.549132227897644,0.7642039060592651,lgb_u10_3894e520-6775-5aa3-80f0-8a05cd35c01d_h009.txt
3894e520-6775-5aa3-80f0-8a05cd35c01d,khanhhoa,u10,10,cpu,78,0.5510591864585876,0.7652875185012817,lgb_u10_3894e520-6775-5aa3-80f0-8a05cd35c01d_h010.txt
3894e520-6775-5aa3-80f0-8a05cd35c01d,khanhhoa,u10,11,cpu,115,0.5482837557792664,0.762445867061615,lgb_u10_3894e520-6775-5aa3-80f0-8a05cd35c01d_h011.txt
3894e520-6775-5aa3-80f0-8a05cd35c01d,khanhhoa,u10,12,cpu,108,0.550221860408783,0.7637391686439514,lgb_u10_3894e520-6775-5aa3-80f0-8a05cd35c01d_h012.txt
3894e520-6775-5aa3-80f0-8a05cd35c01d,khanhhoa,u10,13,cpu,79,0.5551455020904541,0.7705647349357605,lgb_u10_3894e520-6775-5aa3-80f0-8a05cd35c01d_h013.txt
3894e520-6775-5aa3-80f0-8a05cd35c01d,khanhhoa,u10,14,cpu,106,0.5557791590690613,0.7708643674850464,lgb_u10_3894e520-6775-5aa3-80f0-8a05cd35c01d_h014.txt
3894e520-6775-5aa3-80f0-8a05cd35c01d,khanhhoa,u10,15,cpu,110,0.5560774207115173,0.7728754281997681,lgb_u10_3894e520-6775-5aa3-80f0-8a05cd35c01d_h015.txt
3894e520-6775-5aa3-80f0-8a05cd35c01d,khanhhoa,u10,16,cpu,81,0.5577294230461121,0.7756239175796509,lgb_u10_3894e520-6775-5aa3-80f0-8a05cd35c01d_h016.txt
3894e520-6775-5aa3-80f0-8a05cd35c01d,khanhhoa,u10,17,cpu,87,0.5585670471191406,0.7769091725349426,lgb_u10_3894e520-6775-5aa3-80f0-8a05cd35c01d_h017.txt
