target,horizon_bin,mae_mean,rmse_mean
rh,1-24,4.635641443481048,6.327421970168749
rh,25-48,6.152242533365885,8.218466055393218
rh,49-72,6.731675815582276,8.914190105597179
rh,73-100,6.943113993746894,9.167667988368443
