target,horizon_bin,mae_mean,rmse_mean
cloud,1-24,20.573129441340765,27.41806417306264
cloud,25-48,24.966085024674733,30.829539748032886
cloud,49-72,26.285685086250304,31.686149382591246
cloud,73-100,26.817037946837292,32.077949261665346
