location_id,location_name,target,h,device,best_iter,test_mae,test_rmse,model
c6e8add8-26f8-5e9f-aa37-08760ea9a019,daklak,v10,1,cuda,66,0.4143392741680145,0.5960234999656677,xgb_v10_c6e8add8-26f8-5e9f-aa37-08760ea9a019_h001.json
c6e8add8-26f8-5e9f-aa37-08760ea9a019,daklak,v10,2,cuda,69,0.529358983039856,0.7253114581108093,xgb_v10_c6e8add8-26f8-5e9f-aa37-08760ea9a019_h002.json
c6e8add8-26f8-5e9f-aa37-08760ea9a019,daklak,v10,3,cuda,51,0.5837908983230591,0.7860068678855896,xgb_v10_c6e8add8-26f8-5e9f-aa37-08760ea9a019_h003.json
c6e8add8-26f8-5e9f-aa37-08760ea9a019,daklak,v10,4,cuda,64,0.6094448566436768,0.8186290264129639,xgb_v10_c6e8add8-26f8-5e9f-aa37-08760ea9a019_h004.json
c6e8add8-26f8-5e9f-aa37-08760ea9a019,daklak,v10,5,cuda,63,0.6263185143470764,0.8364109992980957,xgb_v10_c6e8add8-26f8-5e9f-aa37-08760ea9a019_h005.json
c6e8add8-26f8-5e9f-aa37-08760ea9a019,daklak,v10,6,cuda,66,0.6355507969856262,0.8489442467689514,xgb_v10_c6e8add8-26f8-5e9f-aa37-08760ea9a019_h006.json
c6e8add8-26f8-5e9f-aa37-08760ea9a019,daklak,v10,7,cuda,63,0.6424199342727661,0.859389066696167,xgb_v10_c6e8add8-26f8-5e9f-aa37-08760ea9a019_h007.json
c6e8add8-26f8-5e9f-aa37-08760ea9a019,daklak,v10,8,cuda,63,0.6490258574485779,0.8640618324279785,xgb_v10_c6e8add8-26f8-5e9f-aa37-08760ea9a019_h008.json
c6e8add8-26f8-5e9f-aa37-08760ea9a019,daklak,v10,9,cuda,52,0.6564605832099915,0.8700863718986511,xgb_v10_c6e8add8-26f8-5e9f-aa37-08760ea9a019_h009.json
c6e8add8-26f8-5e9f-aa37-08760ea9a019,daklak,v10,10,cuda,59,0.6585284471511841,0.873569130897522,xgb_v10_c6e8add8-26f8-5e9f-aa37-08760ea9a019_h010.json
c6e8add8-26f8-5e9f-aa37-08760ea9a019,daklak,v10,11,cuda,62,0.6601477265357971,0.8756148815155029,xgb_v10_c6e8add8-26f8-5e9f-aa37-08760ea9a019_h011.json
c6e8add8-26f8-5e9f-aa37-08760ea9a019,daklak,v10,12,cuda,66,0.6603913307189941,0.8776372075080872,xgb_v10_c6e8add8-26f8-5e9f-aa37-08760ea9a019_h012.json
c6e8add8-26f8-5e9f-aa37-08760ea9a019,daklak,v10,13,cuda,68,0.6643611788749695,0.8803824782371521,xgb_v10_c6e8add8-26f8-5e9f-aa37-08760ea9a019_h013.json
c6e8add8-26f8-5e9f-aa37-08760ea9a019,daklak,v10,14,cuda,61,0.6679868102073669,0.8848481774330139,xgb_v10_c6e8add8-26f8-5e9f-aa37-08760ea9a019_h014.json
c6e8add8-26f8-5e9f-aa37-08760ea9a019,daklak,v10,15,cuda,59,0.6689032316207886,0.8855630159378052,xgb_v10_c6e8add8-26f8-5e9f-aa37-08760ea9a019_h015.json
c6e8add8-26f8-5e9f-aa37-08760ea9a019,daklak,v10,16,cuda,46,0.6729505658149719,0.8879859447479248,xgb_v10_c6e8add8-26f8-5e9f-aa37-08760ea9a019_h016.json
c6e8add8-26f8-5e9f-aa37-08760ea9a019,daklak,v10,17,cuda,63,0.6740873456001282,0.8910438418388367,xgb_v10_c6e8add8-26f8-5e9f-aa37-08760ea9a019_h017.json
c6e8add8-26f8-5e9f-aa37-08760ea9a019,daklak,v10,18,cuda,65,0.6777068376541138,0.8927539587020874,xgb_v10_c6e8add8-26f8-5e9f-aa37-08760ea9a019_h018.json
