target,horizon_bin,n_horizons,mae_mean,rmse_mean,location_id,location_name
rh,1-24,24,5.118833725651105,6.947725743055344,55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi
rh,25-48,24,7.315541843573253,9.64363463719686,55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi
rh,49-72,24,8.061607837677002,10.546015977859497,55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi
rh,73-100,28,8.14721611567906,10.637890951974052,55e90ccc-1370-5a29-b02e-8ac2297b3890,hanoi
rh,1-24,24,4.7922911296288175,6.481289664904277,f6efaa2f-5be2-5d45-9a81-275f1a621a39,haiphong
rh,25-48,24,6.661260664463043,8.962746938069662,f6efaa2f-5be2-5d45-9a81-275f1a621a39,haiphong
rh,49-72,24,7.297430515289307,9.815299987792969,f6efaa2f-5be2-5d45-9a81-275f1a621a39,haiphong
rh,73-100,28,7.37448331287929,9.889441728591919,f6efaa2f-5be2-5d45-9a81-275f1a621a39,haiphong
rh,1-24,24,5.282681584358215,7.24385345975558,2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh
rh,25-48,24,7.709040602048238,10.416102886199951,2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh
rh,49-72,24,8.54679278532664,11.626131455103556,2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh
rh,73-100,28,8.755018302372523,11.91796486718314,2709bffa-c425-5fd1-b200-43a72a8253a4,quangninh
rh,1-24,24,5.675749172767003,7.559537937243779,8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai
rh,25-48,24,7.912210086981456,10.2342236439387,8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai
rh,49-72,24,8.736138145128885,11.107703685760498,8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai
rh,73-100,28,8.989184311458043,11.416672502245222,8a3dd815-a267-514a-94c4-d1cf7efd5019,laocai
rh,1-24,24,5.1515398522218065,6.970410893360774,61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang
rh,25-48,24,6.7884306112925215,9.16375986735026,61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang
rh,49-72,24,7.53575215737025,9.960806886355082,61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang
rh,73-100,28,7.826910018920898,10.278885194233485,61631413-c628-5fe4-adf3-7719f9a9c45a,hagiang
rh,1-24,24,5.5995442271232605,7.654829571644465,20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen
rh,25-48,24,7.694661955038707,10.333677927652994,20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen
rh,49-72,24,8.347617983818054,11.208479483922323,20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen
rh,73-100,28,8.515750340053014,11.44629795210702,20f3f035-f1a6-5786-a26c-52c01d5573ed,thainguyen
rh,1-24,24,4.935590813557307,6.603344182173411,2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa
rh,25-48,24,7.3578154643376665,9.50771415233612,2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa
rh,49-72,24,8.252745707829794,10.495883345603943,2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa
rh,73-100,28,8.430634464536395,10.673434598105294,2436bd46-d8f7-5578-86db-2eebaf0b60e8,thanhhoa
rh,1-24,24,5.432477434476216,7.454977840185165,23e910e1-e423-5858-a7cf-8f9959f7f977,nghean
rh,25-48,24,7.760991295178731,10.022398710250854,23e910e1-e423-5858-a7cf-8f9959f7f977,nghean
rh,49-72,24,8.611046314239502,10.812339107195536,23e910e1-e423-5858-a7cf-8f9959f7f977,nghean
rh,73-100,28,8.821728093283516,10.983089991978236,23e910e1-e423-5858-a7cf-8f9959f7f977,nghean
rh,1-24,24,4.960473080476125,6.547633637984593,a0886c10-f898-5d9b-a5b7-01de6b47e9bb,hatinh
rh,25-48,24,6.826100667317708,8.691838800907135,a0886c10-f898-5d9b-a5b7-01de6b47e9bb,hatinh
rh,49-72,24,7.6841516097386675,9.72222133477529,a0886c10-f898-5d9b-a5b7-01de6b47e9bb,hatinh
rh,73-100,28,8.100444742611476,10.16422871180943,a0886c10-f898-5d9b-a5b7-01de6b47e9bb,hatinh
rh,1-24,24,4.524589359760284,6.065731594959895,8a329641-ca56-5257-95d6-168b9726b411,hue
rh,25-48,24,5.9006354212760925,7.778093655904134,8a329641-ca56-5257-95d6-168b9726b411,hue
rh,49-72,24,6.537279864152272,8.583090504010519,8a329641-ca56-5257-95d6-168b9726b411,hue
rh,73-100,28,6.888716033526829,8.985330479485649,8a329641-ca56-5257-95d6-168b9726b411,hue
rh,1-24,24,4.11653928955396,5.5174841185410815,278554dd-e96a-5d8a-bfe0-73cbfc7669cb,danang
rh,25-48,24,5.2317343552907305,7.036942323048909,278554dd-e96a-5d8a-bfe0-73cbfc7669cb,danang
rh,49-72,24,5.81814839442571,7.776902794837952,278554dd-e96a-5d8a-bfe0-73cbfc7669cb,danang
rh,73-100,28,6.2004817724227905,8.26739409991673,278554dd-e96a-5d8a-bfe0-73cbfc7669cb,danang
rh,1-24,24,4.112927854061127,5.579889714717865,59f88d3f-e683-575e-bcd2-548a7f2797ea,quangnam
rh,25-48,24,5.178346614042918,6.95936377843221,59f88d3f-e683-575e-bcd2-548a7f2797ea,quangnam
rh,49-72,24,5.667178352673848,7.621613522370656,59f88d3f-e683-575e-bcd2-548a7f2797ea,quangnam
rh,73-100,28,6.019138727869306,8.08515967641558,59f88d3f-e683-575e-bcd2-548a7f2797ea,quangnam
rh,1-24,24,3.930437540014585,5.481613536675771,3894e520-6775-5aa3-80f0-8a05cd35c01d,khanhhoa
rh,25-48,24,4.9522891441981,6.80975220600764,3894e520-6775-5aa3-80f0-8a05cd35c01d,khanhhoa
rh,49-72,24,5.369137982527415,7.456599573294322,3894e520-6775-5aa3-80f0-8a05cd35c01d,khanhhoa
rh,73-100,28,5.546733498573303,7.777567608015878,3894e520-6775-5aa3-80f0-8a05cd35c01d,khanhhoa
rh,1-24,24,4.292213782668114,5.817650089661281,d9731703-f025-5cf2-bef7-073fb52b7baf,ninhthuan
rh,25-48,24,5.63693368434906,7.358813424905141,d9731703-f025-5cf2-bef7-073fb52b7baf,ninhthuan
rh,49-72,24,6.1096464196840925,7.845305800437927,d9731703-f025-5cf2-bef7-073fb52b7baf,ninhthuan
rh,73-100,28,6.280930263655526,8.006454961640495,d9731703-f025-5cf2-bef7-073fb52b7baf,ninhthuan
rh,1-24,24,3.9193036953608194,5.532523949940999,af8535bd-79af-54b1-a483-cc8b9d95ed53,gialai
rh,25-48,24,5.053084969520569,6.907809297243754,af8535bd-79af-54b1-a483-cc8b9d95ed53,gialai
rh,49-72,24,5.596673448880513,7.523190557956696,af8535bd-79af-54b1-a483-cc8b9d95ed53,gialai
rh,73-100,28,5.755369748388018,7.672155465398516,af8535bd-79af-54b1-a483-cc8b9d95ed53,gialai
rh,1-24,24,4.141004542509715,5.7455474237600965,c6e8add8-26f8-5e9f-aa37-08760ea9a019,daklak
rh,25-48,24,5.216827789942424,7.177137792110443,c6e8add8-26f8-5e9f-aa37-08760ea9a019,daklak
rh,49-72,24,5.579380551973979,7.698826392491658,c6e8add8-26f8-5e9f-aa37-08760ea9a019,daklak
rh,73-100,28,5.798638003213065,8.073268975530352,c6e8add8-26f8-5e9f-aa37-08760ea9a019,daklak
rh,1-24,24,4.823658625284831,6.8663929005463915,271a23fd-9dad-5b0c-b930-f016d1984f17,lamdong
rh,25-48,24,5.795256515343984,8.133830964565277,271a23fd-9dad-5b0c-b930-f016d1984f17,lamdong
rh,49-72,24,6.210413257280986,8.696397741635641,271a23fd-9dad-5b0c-b930-f016d1984f17,lamdong
rh,73-100,28,6.26746962751661,8.686352559498378,271a23fd-9dad-5b0c-b930-f016d1984f17,lamdong
rh,1-24,24,4.292114029328029,6.00829204916954,92330f85-61cb-52c3-80e2-8382291864f8,hcmc
rh,25-48,24,5.342388649781545,7.342395146687825,92330f85-61cb-52c3-80e2-8382291864f8,hcmc
rh,49-72,24,5.72853962580363,7.860391755898793,92330f85-61cb-52c3-80e2-8382291864f8,hcmc
rh,73-100,28,5.897168959890093,8.067053266933986,92330f85-61cb-52c3-80e2-8382291864f8,hcmc
rh,1-24,24,3.961869031190872,5.556859066088994,0c474d61-9e2a-5498-a267-d438d5203428,dongnai
rh,25-48,24,4.763527234395345,6.6354419986406965,0c474d61-9e2a-5498-a267-d438d5203428,dongnai
rh,49-72,24,5.061886290709178,7.053360799948375,0c474d61-9e2a-5498-a267-d438d5203428,dongnai
rh,73-100,28,5.168167863573347,7.160436170441764,0c474d61-9e2a-5498-a267-d438d5203428,dongnai
rh,1-24,24,3.803293377161026,5.346946706374486,128ae12a-3284-5a3a-9c26-e0201fc3dcf0,cantho
rh,25-48,24,4.6355255246162415,6.4213696122169495,128ae12a-3284-5a3a-9c26-e0201fc3dcf0,cantho
rh,49-72,24,4.8778185447057085,6.6957875688870745,128ae12a-3284-5a3a-9c26-e0201fc3dcf0,cantho
rh,73-100,28,4.949289883886065,6.817587324551174,128ae12a-3284-5a3a-9c26-e0201fc3dcf0,cantho
