target,Persistence,Climatology,Ridge,XGB,LGB,GRU,TCN
cloud,40.7175,32.6754,30.454,30.5659,30.39,35.4523,31.8984
press,3.4532,3.5035,2.2639,2.388,2.3714,10.2851,23.6493
rain,1.5287,1.1375,1.1138,1.1086,1.112,1.2097,1.1622
rh,16.8073,15.9343,8.2648,8.2616,8.1974,10.0319,9.464
temp,3.7716,3.6803,1.6757,1.6967,1.6837,3.5823,3.1661
u10,1.9738,1.7542,1.3602,1.3656,1.3548,1.9576,1.825
v10,1.9371,1.6812,1.3456,1.354,1.3451,1.8607,1.8004
