target,GRU,LGB,Ridge,TCN,XGB
cloud,0.1495,0.0293,0.0359,0.1103,0.0235
press,-1.374,0.3422,0.365,-2.6851,0.3374
rain,-0.1667,0.3383,0.3046,0.0114,0.2486
rh,0.4366,0.5387,0.5336,0.464,0.5362
temp,0.1492,0.5833,0.582,0.2446,0.5809
u10,0.0211,0.341,0.3374,0.0902,0.3364
v10,0.0595,0.3258,0.3267,0.0924,0.3215
