bin,Persistence,Climatology,Ridge,XGB,LGB,GRU,TCN
D1 (1-24h),8.645,8.6389,5.6773,5.6372,5.6176,8.9243,9.5448
D2 (25-48h),9.9714,8.65,6.6659,6.711,6.6644,9.1906,10.415
D3 (49-72h),10.5785,8.6657,6.9978,7.0677,7.0199,9.3074,10.7662
D4 (73-100h),10.7866,8.5524,7.1352,7.205,7.1568,9.3419,10.8907
