,target,family,mae
1,cloud,GRU,21.55566360060694
11,press,Ridge,1.7060343801602722
16,rain,LGB,0.3303493118584156
23,rh,LGB,6.1487662698626515
30,temp,LGB,1.2619097699522972
37,u10,LGB,1.0049102039039135
46,v10,Ridge,1.0002338534593582
